,name,album,artist,release_date,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
36,WANNABE,IT'z ME,ITZY,2020-03-09,56,6sohnLuyLeUYSg1pW5SqHm,0.809,0.911,6,-4.41,0,0.0617,0.00795,0.000179,0.181,0.64,122.035,191242,4
37,Thunderous,NOEASY,Stray Kids,2021-08-23,55,3XHJUG5I2zYqOEmEZUX68n,0.605,0.781,1,-3.913,1,0.229,0.207,0.0,0.217,0.796,172.134,183267,4
38,Savage,Savage - The 1st Mini Album,aespa,2021-10-05,77,3dbLT62Cvs46Ju7a8gpr36,0.727,0.879,9,-1.167,1,0.129,0.124,1.17e-05,0.244,0.671,146.959,238144,4
39,PS5 (with TOMORROW X TOGETHER & Alan Walker),PS5 (with TOMORROW X TOGETHER & Alan Walker),salem ilese,2022-02-23,79,7xNCacksfUkYXsXuSW4vNF,0.602,0.642,2,-5.404,0,0.211,0.0131,5.33e-06,0.0668,0.54,175.978,152214,4
40,ELEVEN,ELEVEN,IVE,2021-12-01,81,7n2FZQsaLb7ZRfRPfEeIvr,0.828,0.731,9,-3.033,1,0.111,0.0617,0.0,0.048,0.587,119.978,178453,4
41,Pirate,Return of The Girl,EVERGLOW,2021-12-01,68,0Vu5tjvXZX3qtzRiezxLi1,0.683,0.685,7,-5.381,1,0.0425,0.00195,0.0,0.0582,0.381,129.993,210013,4
42,O.O,AD MARE,NMIXX,2022-02-22,64,1m2PksrrMpIev63uPxT1V0,0.39,0.767,11,-3.918,0,0.293,0.0354,4.26e-06,0.0601,0.285,200.263,172936,4
43,Dreams Come True,Dreams Come True - SM STATION,aespa,2021-12-20,75,6rVCUwfnuYTAsX4P9fIdIu,0.686,0.901,0,-0.21,1,0.0614,0.0699,0.0,0.306,0.571,98.977,204933,4
44,ON,MAP OF THE SOUL : 7,BTS,2020-02-21,76,0fZRNhPJ4AGmwY7rkpdbqK,0.583,0.817,9,-5.146,0,0.099,0.118,0.0,0.338,0.437,105.935,246381,4
45,0X1=LOVESONG (I Know I Love You) feat. Seori,The Chaos Chapter: FREEZE,TOMORROW X TOGETHER,2021-05-31,73,1Z8TPHiKeCUyClxV6WTTIf,0.584,0.836,0,-4.925,1,0.079,0.0558,0.0,0.0663,0.484,104.973,202204,4
46,TOMBOY,I NEVER DIE,(G)I-DLE,2022-03-14,81,0IGUXY4JbK18bu9oD4mPIm,0.755,0.87,1,-2.414,0,0.0936,0.00988,0.0,0.0917,0.645,124.032,174387,4
47,SOLO,SOLO,JENNIE,2018-11-12,71,2wVDWtLKXunswWecARNILj,0.751,0.642,3,-5.165,0,0.087,0.0861,0.0,0.0953,0.388,95.045,169567,4
48,Sweet Night,ITAEWON CLASS (Original Television Soundtrack) Pt. 12,V,2020-03-13,75,39EXZNMxb4RBHlRjnRaOKp,0.462,0.339,3,-7.943,1,0.025,0.495,8.15e-06,0.0893,0.149,92.106,214259,4
49,BBoom BBoom,GREAT!,MOMOLAND,2018-01-03,66,3BPoSr2pO34Aan6alFfVto,0.785,0.744,3,-4.249,0,0.0369,0.0149,0.00666,0.0661,0.833,126.018,208863,4
0,Med ögon känsliga för grönt,Med ögon känsliga för grönt,Barbro Hörberg,1973-01-01,37,4IdAkaK3oeBpKXBF6hKxgR,0.433,0.113,8,-19.19,0,0.0546,0.975,0.000172,0.115,0.14,179.703,236413,3
1,We'll Meet Again,Gold: 100 Songs From A Life In Music,Vera Lynn,2009-01-01,47,3qXpbtghezZZJJu77upfkv,0.392,0.132,11,-13.486,0,0.0322,0.901,0.0,0.846,0.192,91.002,178667,4
2,Time Moves Slow,IV,BADBADNOTGOOD,2016-07-08,55,4eVUPMhqGFcmxo6cjv9KqA,0.621,0.376,2,-10.832,1,0.0552,0.471,0.0289,0.102,0.322,139.842,273864,4
3,I Get Along Without You Very Well (Except Sometimes) - Vocal Version,Chet Baker Sings,Chet Baker,1956,58,4gFlHAye7To29Fs4UszQUH,0.442,0.033,10,-23.063,1,0.041,0.922,0.000171,0.151,0.21,103.34,179640,3
